original_index,rats_y_n,SERVICENOTES
3398190,n,On 6/7/2012 @ 1 pm there was no rat burrows found in the area.
3676265,y,rat holes located along walkway to deck
5012016,y,"On 11/21/16@11:59 am R Herrington baited 1 rat burrow in the rear yd. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3 oz, B G duster/ gloves shovel."
5113346,y,"On 1/23/17@1:30 pm G Cornes baited 1 rat burrow in the front yd Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3 oz, B G duster/ gloves shovel."
4898668,y,"On 9/23/16@8:31 am L Rogers baited 1 rat burrow in the rear. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3 oz, B G duster/ gloves shovel."
4294619,n,On 3/9/15 @ 9:30pm Redman found no rat burrows on the property.  (1 burrows found on 18th Columbia Rd).
100314,y,Baited 3 rat burrows at fenceline in rear yard./Cornes/Hill    12-01-00  baited 3 rat burrows      3-29-01   abated  GB
3393476,u,no locked gate
2995352,y,rats are over running in the alley and going houses
3084891,n,On the above date 08/03/2011 Ms D Broomfield found no evidence
3944016,u,shani jones test
2941713,y,"On 1/2/15 T Taylor, pest controller has abated area."
3280273,n,"On 3/5/12 A Cuff found no rat burrows;talked with resident, inspected 2418 which has kitchen and cafeteria equip with grease. Refered to Food Safety."
3090675,n,On 8/12/11 L Rogers found no rat burrows in the area.
3316444,u,Please send someone to this location for rat abatement in this alley...
3543975,y,"On 12/04/12 @ 11:43 am, V. Purvis abated the property."
4769444,y,"On 6/22/16@9:59 am R Herrington baited 3 rat burrows at the right side of yard and alley. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3 oz, B&G duster/ gloves & shovel."
5262996,u,See case comments.
69303,y,JOHNSON PURVIS 6/15/00/ TIME 2:00PM ALG  8-17-00 baited rear for 6 rat burrows  10-2-00 baited 4 rat burrows in rear yard  12-11-00 baited rear tank and tree stump for 6 rat burrows    1-24-01  baited 4 rat burrows     3-1-01  baited 4 rat burrows   rear
3911596,y,"Rats in alley and backyard 222 17th St. NE, Washington, DC  Have been observing a large number of rats who seem to be living inside a collapsed garage behind 226 17th St. NE.  Observed a rat this morning entering our backyard from neighbor's yard to the North, then exiting back into neighbor's yard.  This is a common occurrence."
240375,u,See Log
77210,n,"BROOMFIELD, NO RATS BURROWS SEEN.  NO CAUSE FOR ACTION, CR"
4664048,n,On 3/30/16 D Broomfield found no rat burrows in the alley; left service notice.
4721937,y,"On 5/18/16@12:36pm M Parker baited 9 rat burrows in the front and rear yards. Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 10oz, B&G duster/ gloves & shovel."
5200050,y,"On 5/18/17@9:53 am R Herrington baited 2 rat burrows in the alley.  Treatment will continue until rodent activity ceases. Ditrac/powder/ EPA#12455-56/ 0.2% 3 oz, B&G duster/ gloves shovel."
4107006,y,"On 7/17/14 @ 10:21am Rogers baited 1 rat burrow in the rear yard.  Ditrac /powder, EPA#12455-56, 0.2%,  1oz, B&G duster."
2873928,n,On 2/3/11 L Rogers found no rat burrows in the area.
2584483,y,On 5/20/10 G Cornes baited 4 rat burrows in the rear yd.
5133194,n,On 02/22/2017 Mr. Parker found no rat burrows or activity on property; left service notice.
